doi,title,publisher,year,abstract,volume,issue,page,issn_array,authors,total_cites,supporting_cites,mentioning_cites,contrasting_cites,num_citing_publications,num_source_practice_guidelines
10.1145/3708359.3712133,Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,ACM,2025,,,,907-924,[],"[{'given': 'Gaole', 'orcid': '0000-0002-8152-4791', 'family': 'He', 'affiliation': 'Delft University of Technology, Delft, Netherlands,'}, {'given': 'Nilay', 'orcid': '0009-0006-8118-1879', 'family': 'Aishwarya', 'affiliation': 'Delft University of Technology, Delft, Netherlands,'}, {'given': 'Ujwal', 'orcid': '0000-0002-6189-6539', 'family': 'Gadiraju', 'affiliation': 'Delft University of Technology, Delft, Netherlands,'}]",0,0,0,0,1,0
10.1155/2023/4637678,AI Trust: Can Explainable AI Enhance Warranted Trust?,Wiley,2023,"Explainable artificial intelligence (XAI), known to produce explanations so that predictions from AI models can be understood, is commonly used to mitigate possible AI mistrust. The underlying premise is that the explanations of the XAI models enhance AI trust. However, such an increase may depend on many factors. This article examined how trust in an AI recommendation system is affected by the presence of explanations, the performance of the system, and the level of risk. Our experimental study, conducted with 215 participants, has shown that the presence of explanations increases AI trust, but only in certain conditions. AI trust was higher when explanations with feature importance were provided than with counterfactual explanations. Moreover, when the system performance is not guaranteed, the use of explanations seems to lead to an overreliance on the system. Lastly, system performance had a stronger impact on trust, compared to the effects of other factors (explanation and risk).",2023,,1-12,['2578-1863'],"[{'given': 'Regina', 'orcid': '0000-0003-0249-8319', 'family': 'de Brito Duarte', 'affiliation': 'INESC-ID, Instituto Superior Técnico, Universidade de Lisboa, Portugal'}, {'given': 'Filipa', 'orcid': '0000-0002-1592-9694', 'family': 'Correia', 'affiliation': 'Interactive Technologies Institute, LARSyS, Instituto Superior Técnico, Universidade de Lisboa, Portugal'}, {'given': 'Patrícia', 'orcid': '0000-0001-5766-0489', 'family': 'Arriaga', 'affiliation': 'ISCTE-Instituto Universitário de Lisboa (IUL), CIS-IUL, Lisboa, Portugal'}, {'given': 'Ana', 'orcid': '0000-0003-3998-5188', 'family': 'Paiva', 'affiliation': 'INESC-ID, Instituto Superior Técnico, Universidade de Lisboa, Portugal'}]",0,0,0,0,9,0
10.1177/0141076817712252,Drawing on human factors engineering to evaluate the effectiveness of health information technology,SAGE Publications,2017,,110,8,309-315,"['0141-0768', '1758-1095']","[{'given': 'Kathrin M', 'orcid': None, 'family': 'Cresswell', 'affiliation': 'Centre for Medical Informatics, Usher Institute of Population Health Sciences and Informatics, The University of Edinburgh, Edinburgh EH8 9YL, UK'}, {'given': 'Ann', 'orcid': None, 'family': 'Blandford', 'affiliation': 'Institute of Digital Health, University College London, London WC1E 6BT, UK'}, {'given': 'Aziz', 'orcid': None, 'family': 'Sheikh', 'affiliation': 'Centre for Medical Informatics, Usher Institute of Population Health Sciences and Informatics, The University of Edinburgh, Edinburgh EH8 9YL, UK'}]",11,0,11,0,28,0
10.1186/1748-5908-1-1,Welcome to Implementation Science,Springer Science and Business Media LLC,2006,"
AbstractImplementation research is the scientific study of methods to promote the systematic uptake of research findings and other evidence-based practices into routine practice, and, hence, to improve the quality and effectiveness of health services and care. This relatively new field includes the study of influences on healthcare professional and organisational behaviour.Implementation Science will encompass all aspects of research in this field, in clinical, community and policy contexts. This online journal will provide a unique platform for this type of research and will publish a broad range of articles -study protocols, debate, theoretical and conceptual articles, rigorous evaluations of the process of change, and articles on methodology and rigorously developed tools -that will enhance the development and refinement of implementation research. No one discipline, research design, or paradigm will be favoured.Implementation Science looks forward to receiving manuscripts that facilitate the continued development of the field, and contribute to healthcare policy and practice.
Implementation ScienceResearch continually produces new findings that can contribute to effective and efficient healthcare. However, such research cannot change outcomes unless health services and healthcare professionals adopt the findings into practice. Uneven uptake of research findings -and thus inappropriate care -occurs across settings, specialities and countries [1][2][3].Implementation research is the scientific study of methods to promote the systematic uptake of research findings and other evidence-based practices into routine practice, and, hence, to improve the quality and effectiveness of health services. It includes the study of influences on healthcare professional and organisational behaviour.
",1,1,,['1748-5908'],"[{'given': 'Martin P', 'orcid': None, 'family': 'Eccles', 'affiliation': None}, {'given': 'Brian S', 'orcid': None, 'family': 'Mittman', 'affiliation': None}]",1142,5,1103,0,1844,0
10.1371/journal.pdig.0000016,To explain or not to explain?—Artificial intelligence explainability in clinical decision support systems,Public Library of Science (PLoS),2022,"Explainability for artificial intelligence (AI) in medicine is a hotly debated topic. Our paper presents a review of the key arguments in favor and against explainability for AI-powered Clinical Decision Support System (CDSS) applied to a concrete use case, namely an AI-powered CDSS currently used in the emergency call setting to identify patients with life-threatening cardiac arrest. More specifically, we performed a normative analysis using socio-technical scenarios to provide a nuanced account of the role of explainability for CDSSs for the concrete use case, allowing for abstractions to a more general level. Our analysis focused on three layers: technical considerations, human factors, and the designated system role in decision-making. Our findings suggest that whether explainability can provide added value to CDSS depends on several key questions: technical feasibility, the level of validation in case of explainable algorithms, the characteristics of the context in which the system is implemented, the designated role in the decision-making process, and the key user group(s). Thus, each CDSS will require an individualized assessment of explainability needs and we provide an example of how such an assessment could look like in practice.",1,2,e0000016,['2767-3170'],"[{'given': 'Julia', 'orcid': '0000-0003-2155-5286', 'family': 'Amann', 'affiliation': None}, {'given': 'Dennis', 'orcid': '0000-0002-5977-5535', 'family': 'Vetter', 'affiliation': None}, {'given': 'Stig Nikolaj', 'orcid': None, 'family': 'Blomberg', 'affiliation': None}, {'given': 'Helle Collatz', 'orcid': None, 'family': 'Christensen', 'affiliation': None}, {'given': 'Megan', 'orcid': '0000-0002-4581-111X', 'family': 'Coffee', 'affiliation': None}, {'given': 'Sara', 'orcid': '0000-0002-5718-3982', 'family': 'Gerke', 'affiliation': None}, {'given': 'Thomas K.', 'orcid': '0000-0003-1029-4535', 'family': 'Gilbert', 'affiliation': None}, {'given': 'Thilo', 'orcid': None, 'family': 'Hagendorff', 'affiliation': None}, {'given': 'Sune', 'orcid': '0000-0002-3812-7942', 'family': 'Holm', 'affiliation': None}, {'given': 'Michelle', 'orcid': '0000-0002-8277-4733', 'family': 'Livne', 'affiliation': None}, {'given': 'Andy', 'orcid': '0000-0001-7685-0448', 'family': 'Spezzatti', 'affiliation': None}, {'given': 'Inga', 'orcid': '0000-0003-1820-6544', 'family': 'Strümke', 'affiliation': None}, {'given': 'Roberto V.', 'orcid': '0000-0003-2792-9162', 'family': 'Zicari', 'affiliation': None}, {'given': 'Vince Istvan', 'orcid': '0000-0002-8552-6954', 'family': 'Madai', 'affiliation': None}, {'given': None, 'orcid': None, 'family': None, 'affiliation': None}]",55,0,53,0,138,0
10.1609/aimag.v40i2.2850,DARPA's Explainable Artificial Intelligence Program,Wiley,2019,"Dramatic success in machine learning has led to a new wave of AI applications (for example, transportation, security, medicine, finance, defense) that offer tremendous benefits but cannot explain their decisions and actions to human users. DARPA’s explainable artificial intelligence (XAI) program endeavors to create AI systems whose learned models and decisions can be understood and appropriately trusted by end users. Realizing this goal requires methods for learning more explainable models, designing effective explanation interfaces, and understanding the psychologic requirements for effective explanations. The XAI developer teams are addressing the first two challenges by creating ML techniques and developing principles, strategies, and human-computer interaction techniques for generating effective explanations. Another XAI team is addressing the third challenge by summarizing, extending, and applying psychologic theories of explanation to help the XAI evaluator define a suitable evaluation framework, which the developer teams will use to test their systems. The XAI teams completed the first of this 4-year program in May 2018. In a series of ongoing evaluations, the developer teams are assessing how well their XAM systems’ explanations improve user understanding, user trust, and user task performance.",40,2,44-58,"['0738-4602', '2371-9621']","[{'given': 'David', 'orcid': None, 'family': 'Gunning', 'affiliation': None}, {'given': 'David W.', 'orcid': None, 'family': 'Aha', 'affiliation': None}]",810,0,799,0,1252,0
10.2196/50475,Integrating Explainable Machine Learning in Clinical Decision Support Systems: Study Involving a Modified Design Thinking Approach,JMIR Publications Inc.,2024,"
            Background
            Though there has been considerable effort to implement machine learning (ML) methods for health care, clinical implementation has lagged. Incorporating explainable machine learning (XML) methods through the development of a decision support tool using a design thinking approach is expected to lead to greater uptake of such tools.
          
          
            Objective
            This work aimed to explore how constant engagement of clinician end users can address the lack of adoption of ML tools in clinical contexts due to their lack of transparency and address challenges related to presenting explainability in a decision support interface.
          
          
            Methods
            We used a design thinking approach augmented with additional theoretical frameworks to provide more robust approaches to different phases of design. In particular, in the problem definition phase, we incorporated the nonadoption, abandonment, scale-up, spread, and sustainability of technology in health care (NASSS) framework to assess these aspects in a health care network. This process helped focus on the development of a prognostic tool that predicted the likelihood of admission to an intensive care ward based on disease severity in chest x-ray images. In the ideate, prototype, and test phases, we incorporated a metric framework to assess physician trust in artificial intelligence (AI) tools. This allowed us to compare physicians’ assessments of the domain representation, action ability, and consistency of the tool.
          
          
            Results
            Physicians found the design of the prototype elegant, and domain appropriate representation of data was displayed in the tool. They appreciated the simplified explainability overlay, which only displayed the most predictive patches that cumulatively explained 90% of the final admission risk score. Finally, in terms of consistency, physicians unanimously appreciated the capacity to compare multiple x-ray images in the same view. They also appreciated the ability to toggle the explainability overlay so that both options made it easier for them to assess how consistently the tool was identifying elements of the x-ray image they felt would contribute to overall disease severity.
          
          
            Conclusions
            The adopted approach is situated in an evolving space concerned with incorporating XML or AI technologies into health care software. We addressed the alignment of AI as it relates to clinician trust, describing an approach to wire framing and prototyping, which incorporates the use of a theoretical framework for trust in the design process itself. Moreover, we proposed that alignment of AI is dependent upon integration of end users throughout the larger design process. Our work shows the importance and value of engaging end users prior to tool development. We believe that the described approach is a unique and valuable contribution that outlines a direction for ML experts, user experience designers, and clinician end users on how to collaborate in the creation of trustworthy and usable XML-based clinical decision support tools.
          ",8,,e50475,['2561-326X'],"[{'given': 'Michael', 'orcid': '0000-0002-1550-9956', 'family': 'Shulha', 'affiliation': None}, {'given': 'Jordan', 'orcid': '0000-0002-6363-441X', 'family': 'Hovdebo', 'affiliation': None}, {'given': 'Vinita', 'orcid': '0000-0002-4023-6822', 'family': 'D’Souza', 'affiliation': None}, {'given': 'Francis', 'orcid': '0009-0006-7442-5695', 'family': 'Thibault', 'affiliation': None}, {'given': 'Rola', 'orcid': '0000-0002-1848-9073', 'family': 'Harmouche', 'affiliation': None}]",2,0,2,0,6,0
10.3389/fcomp.2023.1096257,"Measures for explainable AI: Explanation goodness, user satisfaction, mental models, curiosity, trust, and human-AI performance",Frontiers Media SA,2023,"If a user is presented an AI system that portends to explain how it works, how do we know whether the explanation works and the user has achieved a pragmatic understanding of the AI? This question entails some key concepts of measurement such as explanation goodness and trust. We present methods for enabling developers and researchers to: (1) Assess the a priori goodness of explanations, (2) Assess users' satisfaction with explanations, (3) Reveal user's mental model of an AI system, (4) Assess user's curiosity or need for explanations, (5) Assess whether the user's trust and reliance on the AI are appropriate, and finally, (6) Assess how the human-XAI work system performs. The methods we present derive from our integration of extensive research literatures and our own psychometric evaluations. We point to the previous research that led to the measurement scales which we aggregated and tailored specifically for the XAI context. Scales are presented in sufficient detail to enable their use by XAI researchers. For Mental Model assessment and Work System Performance, XAI researchers have choices. We point to a number of methods, expressed in terms of methods' strengths and weaknesses, and pertinent measurement issues.",5,,,['2624-9898'],"[{'given': 'Robert R.', 'orcid': None, 'family': 'Hoffman', 'affiliation': None}, {'given': 'Shane T.', 'orcid': None, 'family': 'Mueller', 'affiliation': None}, {'given': 'Gary', 'orcid': None, 'family': 'Klein', 'affiliation': None}, {'given': 'Jordan', 'orcid': None, 'family': 'Litman', 'affiliation': None}]",108,2,106,0,127,0
10.3389/fcomp.2023.1117848,"Explainable AI: roles and stakeholders, desirements and challenges",Frontiers Media SA,2023,"IntroductionThe purpose of the Stakeholder Playbook is to enable the developers of explainable AI systems to take into account the different ways in which different stakeholders or role-holders need to “look inside” the AI/XAI systems.MethodWe conducted structured cognitive interviews with senior and mid-career professionals who had direct experience either developing or using AI and/or autonomous systems.ResultsThe results show that role-holders need access to others (e.g., trusted engineers and trusted vendors) for them to be able to develop satisfying mental models of AI systems. They need to know how it fails and misleads as much as they need to know how it works. Some stakeholders need to develop an understanding that enables them to explain the AI to someone else and not just satisfy their own sense-making requirements. Only about half of our interviewees said they always wanted explanations or even needed better explanations than the ones that were provided. Based on our empirical evidence, we created a “Playbook” that lists explanation desires, explanation challenges, and explanation cautions for a variety of stakeholder groups and roles.DiscussionThis and other findings seem surprising, if not paradoxical, but they can be resolved by acknowledging that different role-holders have differing skill sets and have different sense-making desires. Individuals often serve in multiple roles and, therefore, can have different immediate goals. The goal of the Playbook is to help XAI developers by guiding the development process and creating explanations that support the different roles.",5,,,['2624-9898'],"[{'given': 'Robert R.', 'orcid': None, 'family': 'Hoffman', 'affiliation': None}, {'given': 'Shane T.', 'orcid': None, 'family': 'Mueller', 'affiliation': None}, {'given': 'Gary', 'orcid': None, 'family': 'Klein', 'affiliation': None}, {'given': 'Mohammadreza', 'orcid': None, 'family': 'Jalaeian', 'affiliation': None}, {'given': 'Connor', 'orcid': None, 'family': 'Tate', 'affiliation': None}]",2,0,2,0,10,0
10.3389/fcomp.2024.1521066,Human-AI collaboration is not very collaborative yet: a taxonomy of interaction patterns in AI-assisted decision making from a systematic review,Frontiers Media SA,2025,"Leveraging Artificial Intelligence (AI) in decision support systems has disproportionately focused on technological advancements, often overlooking the alignment between algorithmic outputs and human expectations. A human-centered perspective attempts to alleviate this concern by designing AI solutions for seamless integration with existing processes. Determining what information AI should provide to aid humans is vital, a concept underscored by explainable AI's efforts to justify AI predictions. However, how the information is presented, e.g., the sequence of recommendations and solicitation of interpretations, is equally crucial as complex interactions may emerge between humans and AI. While empirical studies have evaluated human-AI dynamics across domains, a common vocabulary for human-AI interaction protocols is lacking. To promote more deliberate consideration of interaction designs, we introduce a taxonomy of interaction patterns that delineate various modes of human-AI interactivity. We summarize the results of a systematic review of AI-assisted decision making literature and identify trends and opportunities in existing interactions across application domains from 105 articles. We find that current interactions are dominated by simplistic collaboration paradigms, leading to little support for truly interactive functionality. Our taxonomy offers a tool to understand interactivity with AI in decision-making and foster interaction designs for achieving clear communication, trustworthiness, and collaboration.",6,,,['2624-9898'],"[{'given': 'Catalina', 'orcid': None, 'family': 'Gomez', 'affiliation': None}, {'given': 'Sue Min', 'orcid': None, 'family': 'Cho', 'affiliation': None}, {'given': 'Shichang', 'orcid': None, 'family': 'Ke', 'affiliation': None}, {'given': 'Chien-Ming', 'orcid': None, 'family': 'Huang', 'affiliation': None}, {'given': 'Mathias', 'orcid': None, 'family': 'Unberath', 'affiliation': None}]",0,0,0,0,0,0
10.3389/fpsyg.2021.589585,"Human–Autonomy Teaming: Definitions, Debates, and Directions",Frontiers Media SA,2021,"Researchers are beginning to transition from studying human–automation interaction to human–autonomy teaming. This distinction has been highlighted in recent literature, and theoretical reasons why the psychological experience of humans interacting with autonomy may vary and affect subsequent collaboration outcomes are beginning to emerge (de Visser et al., 2018; Wynne and Lyons, 2018). In this review, we do a deep dive into human–autonomy teams (HATs) by explaining the differences between automation and autonomy and by reviewing the domain of human–human teaming to make inferences for HATs. We examine the domain of human–human teaming to extrapolate a few core factors that could have relevance for HATs. Notably, these factors involve critical social elements within teams that are central (as argued in this review) for HATs. We conclude by highlighting some research gaps that researchers should strive toward answering, which will ultimately facilitate a more nuanced and complete understanding of HATs in a variety of real-world contexts.",12,,,['1664-1078'],"[{'given': 'Joseph B.', 'orcid': None, 'family': 'Lyons', 'affiliation': None}, {'given': 'Katia', 'orcid': None, 'family': 'Sycara', 'affiliation': None}, {'given': 'Michael', 'orcid': None, 'family': 'Lewis', 'affiliation': None}, {'given': 'August', 'orcid': None, 'family': 'Capiola', 'affiliation': None}]",65,0,65,0,120,0
10.3389/frai.2023.1250725,Defining human-AI teaming the human-centered way: a scoping review and network analysis,Frontiers Media SA,2023,"IntroductionWith the advancement of technology and the increasing utilization of AI, the nature of human work is evolving, requiring individuals to collaborate not only with other humans but also with AI technologies to accomplish complex goals. This requires a shift in perspective from technology-driven questions to a human-centered research and design agenda putting people and evolving teams in the center of attention. A socio-technical approach is needed to view AI as more than just a technological tool, but as a team member, leading to the emergence of human-AI teaming (HAIT). In this new form of work, humans and AI synergistically combine their respective capabilities to accomplish shared goals.MethodsThe aim of our work is to uncover current research streams on HAIT and derive a unified understanding of the construct through a bibliometric network analysis, a scoping review and synthetization of a definition from a socio-technical point of view. In addition, antecedents and outcomes examined in the literature are extracted to guide future research in this field.ResultsThrough network analysis, five clusters with different research focuses on HAIT were identified. These clusters revolve around (1) human and (2) task-dependent variables, (3) AI explainability, (4) AI-driven robotic systems, and (5) the effects of AI performance on human perception. Despite these diverse research focuses, the current body of literature is predominantly driven by a technology-centric and engineering perspective, with no consistent definition or terminology of HAIT emerging to date.DiscussionWe propose a unifying definition combining a human-centered and team-oriented perspective as well as summarize what is still needed in future research regarding HAIT. Thus, this work contributes to support the idea of the Frontiers Research Topic of a theoretical and conceptual basis for human work with AI systems.",6,,,['2624-8212'],"[{'given': 'Sophie', 'orcid': None, 'family': 'Berretta', 'affiliation': None}, {'given': 'Alina', 'orcid': None, 'family': 'Tausch', 'affiliation': None}, {'given': 'Greta', 'orcid': None, 'family': 'Ontrup', 'affiliation': None}, {'given': 'Björn', 'orcid': None, 'family': 'Gilles', 'affiliation': None}, {'given': 'Corinna', 'orcid': None, 'family': 'Peifer', 'affiliation': None}, {'given': 'Annette', 'orcid': None, 'family': 'Kluge', 'affiliation': None}]",7,0,7,0,33,0
10.48550/arxiv.2210.11584,Towards Human-centered Explainable AI: User Studies for Model Explanations,arXiv,2022,,,,,,"[{'given': 'Yao', 'orcid': None, 'family': 'Rong', 'affiliation': None}, {'given': 'Tobias', 'orcid': None, 'family': 'Leemann', 'affiliation': None}, {'given': 'Thai-trang', 'orcid': None, 'family': 'Nguyen', 'affiliation': None}, {'given': 'Lisa', 'orcid': None, 'family': 'Fiedler', 'affiliation': None}, {'given': 'Peizhu', 'orcid': None, 'family': 'Qian', 'affiliation': None}, {'given': 'Vaibhav', 'orcid': None, 'family': 'Unhelkar', 'affiliation': None}, {'given': 'Tina', 'orcid': None, 'family': 'Seidel', 'affiliation': None}, {'given': 'Gjergji', 'orcid': None, 'family': 'Kasneci', 'affiliation': None}, {'given': 'Enkelejda', 'orcid': None, 'family': 'Kasneci', 'affiliation': None}]",6,0,6,0,7,0
10.48550/arxiv.2301.09656,Selective Explanations: Leveraging Human Input to Align Explainable AI,arXiv,2023,"While a vast collection of explainable AI (XAI) algorithms have been developed in recent years, they are often criticized for significant gaps with how humans produce and consume explanations. As a result, current XAI techniques are often found to be hard to use and lack effectiveness. In this work, we attempt to close these gaps by making AI explanations selective-a fundamental property of human explanations-by selectively presenting a subset from a large set of model reasons based on what aligns with the recipient's preferences. We propose a general framework for generating selective explanations by leveraging human input on a small sample.This framework opens up a rich design space that accounts for different selectivity goals, types of input, and more. As a showcase, we use a decision-support task to explore selective explanations based on what the decision-maker would consider relevant to the decision task. We conducted two experimental studies to examine three out of a broader possible set of paradigms based on our proposed framework: in Study 1, we ask the participants to provide their own input to generate selective explanations, with either open-ended or critique-based input. In Study 2, we show participants selective explanations based on input from a panel of similar users (annotators). Our experiments demonstrate the promise of selective explanations in reducing over-reliance on AI and improving decision outcomes and subjective perceptions of the AI, but also paint a nuanced picture that attributes some of these positive effects to the opportunity to provide one's own input to augment AI explanations. Overall, our work proposes a novel XAI framework inspired by human communication behaviors and demonstrates its potentials to encourage future work to better align AI explanations with human production and consumption of explanations. CCS Concepts: • Human-centered computing → Collaborative and social computing; • Computing methodologies → Artificial intelligence; • Applied computing → Law, social and behavioral sciences.",,,,,"[{'given': 'Vivian', 'orcid': None, 'family': 'Lai', 'affiliation': None}, {'given': 'Yiming', 'orcid': None, 'family': 'Zhang', 'affiliation': None}, {'given': 'Chacha', 'orcid': None, 'family': 'Chen', 'affiliation': None}, {'given': 'Q. Vera', 'orcid': None, 'family': 'Liao', 'affiliation': None}, {'given': 'Chenhao', 'orcid': None, 'family': 'Tan', 'affiliation': None}]",4,0,4,0,5,0
10.5220/0009382903780385,Human-agent Explainability: An Experimental Case Study on the Filtering of Explanations,SCITEPRESS - Science and Technology Publications,2020,,,,,[],"[{'given': 'Yazan', 'orcid': None, 'family': 'Mualla', 'affiliation': 'CIAD, Univ. Bourgogne Franche-Comté, UTBM, 90010 Belfort, France, --- Select a Country ---'}, {'given': 'Igor', 'orcid': None, 'family': 'Tchappi', 'affiliation': 'CIAD, Univ. Bourgogne Franche-Comté, UTBM, 90010 Belfort, France, Faculty of Sciences, University of Ngaoundere, B.P. 454 Ngaoundere, Cameroon, --- Select a Country ---'}, {'given': 'Amro', 'orcid': None, 'family': 'Najjar', 'affiliation': 'AI-Robolab/ICR, Computer Science and Communications, University of Luxembourg, 4365 Esch-sur-Alzette, Luxembourg, --- Select a Country ---'}, {'given': 'Timotheus', 'orcid': None, 'family': 'Kampik', 'affiliation': 'Department of Computing Science, Umeå University, 90187 Umeå, Sweden, --- Select a Country ---'}, {'given': 'Stéphane', 'orcid': None, 'family': 'Galland', 'affiliation': 'CIAD, Univ. Bourgogne Franche-Comté, UTBM, 90010 Belfort, France, --- Select a Country ---'}, {'given': 'Christophe', 'orcid': None, 'family': 'Nicolle', 'affiliation': 'CIAD, Univ. Bourgogne Franche-Comté, UB, 21000 Dijon, France, --- Select a Country ---'}]",5,0,5,0,8,0
